# Descriptor tail for the Figure 4 interim plan. FROM BENCHMARK PROPERTIES ONLY; no answer-key input. Rule: population = the 9,167 coordinate-distinct representatives (lexicographically first coreid per group, benchmark/frozen/coord_keys.json), minus the 6 sealed exclusion-set structures; take the 1,000 highest helium void fraction (vf_he), then add every remaining structure with largest cavity diameter d_max > 15 Angstrom. Descriptors from /home1/users/Bei/recon/out/c00-c39.csv (geom.py: vf_he = fraction of cell where a He probe centre fits; d_max = 2*max min_i(|r-r_i|-sigma_i/2)). RECORDED BEFORE ANY RUN. Skip this line.
n,structure_id,vf_he,d_max,selected_by
173,2011[Zr][fcu]3[ASR]1,0.478778,16,vf_he_top1000
174,2012[Ag][srs]3[ASR]1,0.369873,10.0729,vf_he_top1000
175,2012[Ag][srs]3[ASR]2,0.350562,9.8568,vf_he_top1000
176,2012[Ag][srs]3[ASR]3,0.351359,9.79282,vf_he_top1000
177,2012[Cd][ins]3[ASR]1,0.35017,8.58079,vf_he_top1000
178,2012[Cd][rtl]3[ASR]1,0.394098,9.50102,vf_he_top1000
179,2012[Co][lon]3[FSR]1,0.349735,8.03197,vf_he_top1000
180,2012[Co][nan]3[ASR]13,0.348583,9.88477,vf_he_top1000
181,2012[Co][nan]3[ASR]6,0.352987,8.73588,vf_he_top1000
182,2012[Co][nan]3[ASR]8,0.356444,11.6611,vf_he_top1000
183,2012[Co][scu]3[ASR]1,0.341425,9.52128,vf_he_top1000
184,2012[Co][tsn]3[ASR]1,0.318007,9.50714,vf_he_top1000
185,2012[Co][tsn]3[ASR]2,0.314068,9.67482,vf_he_top1000
186,2012[Cu][ith]3[ASR]1,0.541889,16,vf_he_top1000
187,2012[Cu][nan]3[ASR]1,0.431694,12.2027,vf_he_top1000
188,2012[Cu][nan]3[ASR]2,0.387124,15.7673,vf_he_top1000
189,2012[Cu][nbo]3[ASR]1,0.494251,12.4498,vf_he_top1000
190,2012[Cu][nbo]3[ASR]2,0.394584,15.1488,vf_he_top1000
191,2012[Cu][nts]3[ASR]1,0.445156,16,vf_he_top1000
192,2012[Cu][nts]3[ASR]2,0.714055,16,vf_he_top1000
193,2012[Cu][nts]3[ASR]4,0.3682,15.7055,vf_he_top1000
194,2012[Cu][ntt]3[ASR]1,0.655652,16,vf_he_top1000
195,2012[Cu][pto]3[ASR]1,0.50899,14.8693,vf_he_top1000
196,2012[Cu][rhr]3[ASR]1,0.384948,12.7205,vf_he_top1000
197,2012[Cu][scu]3[ASR]1,0.337227,10.4453,vf_he_top1000
198,2012[Cu][scu]3[ASR]2,0.462209,15.0253,vf_he_top1000
199,2012[Cu][tbo]3[ASR]1,0.633935,16,vf_he_top1000
200,2012[Cu][tbo]3[ASR]2,0.370853,12.3647,vf_he_top1000
201,2012[Cu][tbo]3[ASR]3,0.3678,12.3448,vf_he_top1000
202,2012[Cu][tbo]3[ASR]4,0.371463,12.3362,vf_he_top1000
203,2012[Cu][tbo]3[ASR]5,0.3678,12.3212,vf_he_top1000
204,2012[Cu][tbo]3[ASR]6,0.357419,12.1061,vf_he_top1000
205,2012[Cu][tbo]3[ASR]7,0.367189,12.2709,vf_he_top1000
206,2012[Cu][tbo]3[ASR]8,0.370242,12.3246,vf_he_top1000
207,2012[Cu][tbo]3[ASR]9,0.372685,12.3895,vf_he_top1000
208,2012[Cu][twf]3[ASR]1,0.348225,9.37774,vf_he_top1000
209,2012[Cu][twf]3[ASR]2,0.336588,9.0091,vf_he_top1000
210,2012[Cu][wbl]3[ASR]1,0.691473,16,vf_he_top1000
211,2012[FeZr][csq]3[ASR]1,0.615818,16,vf_he_top1000
212,2012[FeZr][csq]3[ASR]2,0.604907,16,vf_he_top1000
213,2012[FeZr][csq]3[FSR]1,0.578997,16,vf_he_top1000
214,2012[Fe][acs]3[ASR]1,0.363936,8.3215,vf_he_top1000
215,2012[Fe][nan]3[ASR]7,0.36,11.6331,vf_he_top1000
216,2012[Hf][reo]3[ASR]1,0.591194,16,vf_he_top1000
217,2012[InMg][nan]3[ASR]1,0.49624,16,vf_he_top1000
218,2012[Mg][nan]3[ASR]2,0.505778,16,vf_he_top1000
219,2012[MnNaCu][nan]3[ION]1,0.413014,13.2853,vf_he_top1000
220,2012[MnNaCu][nan]3[ION]2,0.383333,16,vf_he_top1000
221,2012[Mn][nan]3[ASR]5,0.354667,11.7672,vf_he_top1000
222,2012[NdIn][nan]3[ION]1,0.411529,9.70676,vf_he_top1000
223,2012[Ni][nan]3[ASR]3,0.354667,11.6078,vf_he_top1000
224,2012[Zn][flu]3[ASR]1,0.378839,11.4383,vf_he_top1000
225,2012[Zn][nan]3[ASR]12,0.351111,11.4417,vf_he_top1000
226,2012[Zn][nan]3[ASR]14,0.349312,9.42505,vf_he_top1000
227,2012[Zn][nan]3[ASR]15,0.365755,9.53116,vf_he_top1000
228,2012[Zn][nan]3[ASR]29,0.333993,7.48756,vf_he_top1000
229,2012[Zn][nan]3[ASR]30,0.370976,9.06263,vf_he_top1000
230,2012[Zn][nan]3[ASR]37,0.52962,16,vf_he_top1000
231,2012[Zn][nan]3[ASR]5,0.398219,12.6128,vf_he_top1000
232,2012[Zn][nan]3[ASR]6,0.34222,11.0985,vf_he_top1000
233,2012[Zn][nan]3[ASR]9,0.52962,16,vf_he_top1000
234,2012[Zn][nbo]3[ASR]1,0.415811,10.5887,vf_he_top1000
235,2012[Zn][nbo]3[ASR]2,0.399783,11.9428,vf_he_top1000
236,2012[Zn][nts]3[ASR]1,0.447918,16,vf_he_top1000
237,2012[Zn][pcu]3[ASR]11,0.505547,14.4528,vf_he_top1000
238,2012[Zn][pcu]3[ASR]12,0.335923,8.99243,vf_he_top1000
239,2012[Zn][pcu]3[ASR]18,0.643167,16,vf_he_top1000
240,2012[Zn][pcu]3[ASR]4,0.548387,15.4845,vf_he_top1000
241,2012[Zn][pcu]3[ASR]8,0.453227,12.4369,vf_he_top1000
242,2012[Zn][scu]3[ASR]1,0.349099,10.7367,vf_he_top1000
243,2012[Zn][scu]3[ASR]2,0.344257,10.5333,vf_he_top1000
244,2012[Zn][scu]3[ASR]3,0.348012,10.8033,vf_he_top1000
245,2012[Zn][scu]3[ASR]4,0.348398,11.0365,vf_he_top1000
