# Uniform random sample for the Figure 4 interim plan. seed=20260903; population = 9,167 coordinate-distinct groups of the frozen 12,499 (benchmark/frozen/coord_keys.json); representative = lexicographically first coreid in each group; draw = python random.Random(20260903).sample(sorted(reps), 1500). RECORDED BEFORE ANY RUN. Skip this line.
n,structure_id
283,2010[Cu][bor]3[ION]2
284,2010[Cu][nan]3[ASR]15
285,2010[Cu][nan]3[ASR]20
286,2010[Cu][nan]3[ASR]25
287,2010[Cu][nan]3[ASR]28
288,2010[Cu][nts]3[ASR]1
289,2010[Cu][nts]3[ASR]2
290,2010[Dy][pcu]3[ASR]1
291,2010[Eu][flu]3[ASR]1
292,2010[Eu][rtl]3[FSR]1
293,2010[Fe][bpq]3[FSR]3
294,2010[Gd][rtl]3[ASR]1
295,2010[La][flu]3[ASR]1
296,2010[La][flu]3[FSR]2
297,2010[La][flu]3[FSR]3
298,2010[La][nan]3[FSR]1
299,2010[Mn][nan]3[ASR]2
300,2010[Mn][pts]3[ASR]1
301,2010[Mn][ths]3[ASR]1
302,2010[Mo][nan]3[ASR]1
303,2010[Nd][nan]3[ASR]3
304,2010[Nd][nan]3[FSR]3
305,2010[Nd][rtl]3[FSR]1
306,2010[Ni][nan]3[ASR]2
307,2010[Pr][sxb]3[ASR]1
308,2010[Sm][flu]3[ASR]1
309,2010[Sm][rtl]3[ASR]1
310,2010[Sm][rtl]3[FSR]1
311,2010[Tb][nan]3[ASR]1
312,2010[U][pts]3[ASR]1
313,2010[Y][rtl]3[ASR]1
314,2010[YbCo][pth]3[FSR]1
315,2010[Zn][ins]3[ASR]1
316,2010[Zn][jeb]3[FSR]1
317,2010[Zn][lcy]3[ASR]1
318,2010[Zn][nan]3[ASR]2
319,2010[Zn][nan]3[ASR]22
320,2010[Zn][nan]3[ASR]8
321,2010[Zn][neb]3[ASR]1
322,2010[Zn][neb]3[ASR]2
323,2010[Zn][pcu]3[FSR]3
324,2010[Zn][pyr]3[ASR]1
325,2010[Zn][srs]3[ASR]2
326,2010[Zn][srs]3[ASR]3
327,2010[Zn][ttt]3[ASR]1
328,2011[Ag][nan]3[ASR]4
329,2011[Cd][dmp]3[ION]1
330,2011[Cd][flu]3[ASR]1
331,2011[Cd][nan]3[FSR]1
332,2011[Cd][scu]3[ASR]1
333,2011[Cd][sql]2[FSR]1
334,2011[Cd][zzz]3[ASR]1
335,2011[CeCu][stp]3[ASR]1
336,2011[Ce][nan]3[ASR]1
337,2011[Co][dia]3[ASR]4
338,2011[Co][hex]3[ASR]2
339,2011[Co][mok]3[ASR]1
340,2011[Co][nan]3[ASR]10
341,2011[Co][nan]3[ASR]8
342,2011[Co][nan]3[FSR]11
343,2011[Co][rtl]3[ASR]3
344,2011[CuNd][stp]3[ASR]1
345,2011[CuW][ths]3[ASR]2
346,2011[Cu][bcu]3[ASR]1
347,2011[Cu][dia]3[ASR]1
348,2011[Cu][lvt]3[ASR]3
349,2011[Cu][nan]3[ASR]4
350,2011[Cu][nan]3[ASR]6
