# UNATTESTED and DERIVED. Reconstructed from RASPA output trees in the replicate workspaces on bnode0, read-only, 2026-09-03. Not an extraction from any replicate-authored record; the per-job association does not exist in one. Outside the sealed 16/16 attestation. t_submitted is RASPA's own start, NOT the PBS submit time. Skip this line.
run,job_id,t_submitted,t_completed,accuracy_tier,structure_id,structure_class,init_cycles,production_cycles,id_source,output_path
rep01,,5.006,5.635,low,2013[Zr][reo]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2013_Zr__reo_3_ASR_2_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.636,9.829,low,2013[Zr][reo]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2013_Zr__reo_3_ASR_2_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.035,5.669,low,2023[Zr][reo]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Zr__reo_3_ASR_2_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.669,9.795,low,2023[Zr][reo]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Zr__reo_3_ASR_2_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.134,5.668,low,2016[Cu][nbo]3[ASR]53,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_53_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.668,7.447,low,2016[Cu][nbo]3[ASR]53,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_53_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.175,5.522,low,2017[Zr][nan]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Zr__nan_3_ASR_2_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.522,7.335,low,2017[Zr][nan]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Zr__nan_3_ASR_2_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.209,5.788,low,2016[In][unc]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_In__unc_3_ASR_2_/p580000/Output/System_0/output_frame_3.2.2_298.000000_580000.data
rep01,,5.788,7.418,low,2016[In][unc]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_In__unc_3_ASR_2_/p6500000/Output/System_0/output_frame_3.2.2_298.000000_6.5e+06.data
rep01,,5.210,5.536,low,2016[Cu][nbo]3[ASR]49,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_49_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.536,7.474,low,2016[Cu][nbo]3[ASR]49,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_49_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.224,5.444,low,2020[Cu][nbo]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2020_Cu__nbo_3_ASR_2_/p580000/Output/System_0/output_frame_1.1.1_298.000000_580000.data
rep01,,5.445,7.572,low,2020[Cu][nbo]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2020_Cu__nbo_3_ASR_2_/p6500000/Output/System_0/output_frame_1.1.1_298.000000_6.5e+06.data
rep01,,5.236,7.030,low,2017[Zn][nan]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Zn__nan_3_ASR_6_/p580000/Output/System_0/output_frame_4.4.4_298.000000_580000.data
rep01,,7.031,8.390,low,2017[Zn][nan]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Zn__nan_3_ASR_6_/p6500000/Output/System_0/output_frame_4.4.4_298.000000_6.5e+06.data
rep01,,5.327,6.021,low,2019[Zn][sql]2[ASR]3,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Zn__sql_2_ASR_3_/p580000/Output/System_0/output_frame_4.2.2_298.000000_580000.data
rep01,,6.022,8.078,low,2019[Zn][sql]2[ASR]3,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Zn__sql_2_ASR_3_/p6500000/Output/System_0/output_frame_4.2.2_298.000000_6.5e+06.data
rep01,,5.413,5.775,low,2016[Cu][nbo]3[ASR]9,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_9_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.776,7.655,low,2016[Cu][nbo]3[ASR]9,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_9_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.474,5.825,low,2016[Cu][nbo]3[ASR]35,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_35_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.825,7.344,low,2016[Cu][nbo]3[ASR]35,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_35_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.478,5.700,low,2016[Cu][nbo]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_6_/p580000/Output/System_0/output_frame_1.1.1_298.000000_580000.data
rep01,,5.700,7.728,low,2016[Cu][nbo]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_6_/p6500000/Output/System_0/output_frame_1.1.1_298.000000_6.5e+06.data
rep01,,5.518,6.071,low,2016[Cu][nan]3[ASR]8,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nan_3_ASR_8_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,6.071,8.871,low,2016[Cu][nan]3[ASR]8,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nan_3_ASR_8_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.574,5.870,low,2016[Cu][nbo]3[ASR]46,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_46_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.870,7.258,low,2016[Cu][nbo]3[ASR]46,retained,2000,10000,underscore form in path,rep01/runs/r1/2016_Cu__nbo_3_ASR_46_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.611,6.151,low,2019[Cu][nan]3[ASR]7,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Cu__nan_3_ASR_7_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,6.151,8.909,low,2019[Cu][nan]3[ASR]7,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Cu__nan_3_ASR_7_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.703,7.226,low,2018[Zn][hmc]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Zn__hmc_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,7.227,8.270,low,2018[Zn][hmc]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Zn__hmc_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,5.818,6.150,low,2018[Zn][bcu]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Zn__bcu_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
