# UNATTESTED. Workspace file inventory, post-seal read-only. REBUILT 2026-09-03 correcting REPORT 036 section 4 (was 6 runs / 2,037 rows). Skip this line.
run,group,file_path,parent_structure_id,parent_class,transformation,reported_value,reported_uncertainty,accuracy_tier,pristine_parent_measured_same_setting
rep02,U,rep02/mod/2005[Fe][srs]3[ASR]1__1of2.cif,2005[Fe][srs]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Fe][srs]3[FSR]1__1of2.cif,2005[Fe][srs]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][hex]3[FSR]1__1of2.cif,2005[Zn][hex]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][pcu]3[ASR]12__1of2.cif,2005[Zn][pcu]3[ASR]12,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][pcu]3[ASR]1__1of2.cif,2005[Zn][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][pcu]3[FSR]12__1of2.cif,2005[Zn][pcu]3[FSR]12,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][pcu]3[FSR]1__1of2.cif,2005[Zn][pcu]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]1__1of2.cif,2005[Zn][srs]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]2__1of2.cif,2005[Zn][srs]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]3__1of2.cif,2005[Zn][srs]3[ASR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]4__1of2.cif,2005[Zn][srs]3[ASR]4,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]5__1of2.cif,2005[Zn][srs]3[ASR]5,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]6__1of2.cif,2005[Zn][srs]3[ASR]6,retained,"""interpenetration removal""",,,,unknown
